fold,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted,roc_auc,avg_precision
1,0.9703557312252964,0.9721097201767306,0.9703102276931356,0.9706528630476138,0.9703557312252964,0.9703557312252964,0.9703557312252964,0.9721337324710252,0.9703557312252964,0.970682415808814,0.9988663464471108,0.9958227816635918
2,0.9644268774703557,0.9656889053391321,0.9644727183040169,0.9647053760443963,0.9644268774703557,0.9644268774703557,0.9644268774703557,0.9660825895673679,0.9644268774703557,0.9648844650609636,0.9983652928813622,0.9939304509542948
3,0.9387351778656127,0.9490089600868856,0.9381667091078855,0.9403063034429646,0.9387351778656127,0.9387351778656127,0.9387351778656127,0.9487421643508954,0.9387351778656127,0.9404564854841628,0.9959803802984887,0.9858422531850947
4,0.958498023715415,0.9635728448682844,0.9580302061418629,0.9590038298987746,0.958498023715415,0.958498023715415,0.958498023715415,0.9633737049467387,0.958498023715415,0.9591396003909705,0.9975494659057664,0.9908371599133436
5,0.9524752475247524,0.9593367250800829,0.952282513005202,0.9534090019746676,0.9524752475247524,0.9524752475247524,0.9524752475247524,0.9590251619848248,0.9524752475247524,0.9533433070527388,0.9963185551511294,0.9865807262240782
