fold,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted,roc_auc,avg_precision,ae_val_recon_loss
0,0.9822134387351779,0.9827817178881009,0.9820110090920302,0.9821066602119078,0.9822134387351779,0.9822134387351779,0.9822134387351779,0.9827717508106038,0.9822134387351779,0.9822042208204711,0.9992336074191318,0.9971379228717225,0.6551152467727661
1,0.9723320158102767,0.9722442505947662,0.9720736779560308,0.972122052704577,0.9723320158102767,0.9723320158102767,0.9723320158102767,0.9723915707779446,0.9723320158102767,0.9723251632284979,0.9979402894039946,0.9921946314029693,0.5639512538909912
2,0.9683794466403162,0.9689372771943348,0.9681556743909685,0.9683766902918844,0.9683794466403162,0.9683794466403162,0.9683794466403162,0.9689362108879781,0.9683794466403162,0.968488159204977,0.9971980518461769,0.9892766780929483,0.6251162886619568
3,0.9723320158102767,0.9733636355186228,0.9722326871342597,0.972406804317481,0.9723320158102767,0.9723320158102767,0.9723320158102767,0.9732227519232416,0.9723320158102767,0.9723865320907672,0.9978288668939352,0.990567363771549,0.5995808839797974
4,0.9722772277227723,0.9729166666666667,0.9723081232492998,0.9723626373626374,0.9722772277227723,0.9722772277227723,0.9722772277227723,0.9728547854785478,0.9722772277227723,0.9723147644434772,0.9967850588116874,0.9868680880444989,0.6271194219589233
